#{"t_start": 1749414665.4811, "env_id": "foraging_envs/foraging-three"}
r,l,t
471.007528,5000,288.29517
476.76747,5000,289.195619
444.292666,5000,290.059479
514.968203,5000,290.995382
513.201431,5000,291.898088
492.966733,5000,293.140723
434.563177,5000,294.025081
452.943238,5000,294.943431
561.910214,5000,295.822163
515.134888,5000,296.671693
503.431313,5000,297.532636
449.606608,5000,298.413978
385.367709,5000,299.300576
512.878127,5000,300.227598
475.659318,5000,301.087168
469.869778,5000,302.308536
541.234747,5000,303.192334
493.657053,5000,304.08934
445.62842,5000,304.945067
448.722272,5000,305.803569
488.960231,5000,306.649948
458.737755,5000,307.500899
460.10977,5000,308.344327
559.510283,5000,309.191757
447.252783,5000,310.023788
452.992113,5000,311.322767
534.998093,5000,312.21994
461.567487,5000,313.139836
489.847683,5000,314.047547
456.655484,5000,315.080727
429.002724,5000,316.011536
480.958114,5000,316.996806
457.618374,5000,318.02654
528.469932,5000,318.927123
497.968309,5000,319.813726
477.647886,5000,321.100642
496.283097,5000,322.020983
500.245728,5000,322.865183
461.097826,5000,323.789766
512.951221,5000,324.69366
459.72502,5000,325.543887
512.771412,5000,326.551723
463.910551,5000,327.601012
476.989368,5000,328.491053
436.041329,5000,329.388869
401.280752,5000,330.785777
503.564206,5000,331.727685
458.351006,5000,332.653687
433.040104,5000,333.627935
472.120808,5000,334.537456
479.213649,5000,335.447636
398.094574,5000,336.288404
481.348417,5000,337.143251
489.886182,5000,338.004154
473.140778,5000,339.007976
448.325675,5000,340.282952
477.426064,5000,341.259275
482.197125,5000,342.209018
429.361955,5000,343.119045
400.706061,5000,344.113533
458.098498,5000,345.079767
431.357831,5000,345.95998
450.520344,5000,346.847769
522.235324,5000,347.85998
444.546436,5000,348.735525
484.097234,5000,350.100933
428.614465,5000,351.107378
524.056255,5000,352.044273
466.117184,5000,352.95304
501.444773,5000,353.842149
505.848448,5000,354.802557
554.825571,5000,355.881437
500.033861,5000,356.778334
425.97487,5000,357.75291
455.0322,5000,358.760769
